Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,"166,575","157,608","122,475","135,931","155,791","197,940","201,114","227,172","269,677","300,902","302,293"
China,"26,370","24,434","22,411","21,119","23,227","22,528","23,924","27,733","32,485","35,720","41,475"
Canada,"12,230","10,713","10,407","8,887","9,098","9,400","7,399","6,772","4,147","3,704","4,010"
Philippines,"10,730","10,277","10,704","8,721","7,480","7,204","5,576","4,897","4,298","4,269","3,777"
South Korea,"8,562","7,111","7,871","7,342","6,761","6,688","5,478","5,267","5,050","4,547","4,328"
United Kingdom,"5,394","4,088","4,308","4,325","4,511","4,172","3,520","3,267","2,555","2,287","2,077"
Mexico,"4,259","3,680","3,599","3,260","3,439","3,602","2,985","2,769","2,462","2,315","2,581"
Taiwan,"5,105","4,241","4,270","3,651","3,241","3,130","2,330","1,988","1,697","1,528","2,517"
Japan,"4,259","3,803","3,683","3,012","3,033","2,765","2,381","2,497","2,512","2,401","1,301"
Pakistan,"4,112","3,687","3,035","2,660","2,531","2,292","2,192","2,024","2,048","1,998","1,791"
France,"3,056","2,498","2,495","2,595","2,644","2,557","2,346","2,353","2,111","1,992","1,733"
Turkey,"2,775","2,538","2,724","2,467","2,169","2,066","1,788","1,598","1,512","1,504","1,442"
Germany,"2,913","2,374","2,253","2,225","2,172","2,030","1,755","1,664","1,553","1,481","1,333"
Brazil,"2,415","2,028","2,041","2,023","2,020","1,966","1,658","1,665","1,711","1,709","1,710"
Colombia,"3,168","2,482","2,182","1,875","1,737","1,650","1,319","1,256","1,164","1,006","1,018"
Venezuela,"2,531","1,930","1,952","1,897","1,755","1,676","1,362","1,331","1,230","1,152","1,026"
Nepal,"1,353","1,533","1,437","1,361","1,613","1,922","1,722","1,865","1,894","1,639","1,479"
Russia,"2,446","1,760","1,544","1,434","1,570","1,499","1,318","1,323","1,275","1,154","1,103"
Italy,"1,262","1,159","1,302","1,299","1,398","1,540","1,370","1,339","1,247","1,208","1,086"
Spain,"1,079",974,933,"1,018","1,233","1,140","1,230","1,201","1,110","1,094",988
Other,"44,027","36,557","34,500","31,170","30,989","30,475","26,923","25,990","27,114","25,739","25,019"